Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
568,"55"" Neo QLED 4K TV QN90B OPEN BOX 10/10",0,"$1,448",15.5,Neo,LED,55,4K
569,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7570PUJ) - 2023 - Black",0,$799.99,0,LG,LED,55,4K
570,"Amazon Fire TV Omni QLED Series 43"" 4K UHD Smart TV (QL43F601C) - 2023",0,$519.99,0,Amazon fire TV,LED,43,4K
571,"Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q60RAFXZC) - Open Box",0,"$1,529.99",$70,Samsung,LED,75,4K
572,"Refurbished (Good) - Hisense 43R63G 43"" 4K UHD Smart Roku TV with Dolby Vision and HDR10",0,$329.99,$160,Hisense,NA,43,4K
573,"Samsung 65"" 8K UHD Neo QLED Tizen Smart TV (QN65QN800BFXZC) - Stainless Steel - Open Box",0,"$2,559.99",15.5,Samsung,LED,65,8K
574,"Samsung 70"" 4K Ultra HD 60 Hz LED Display for Business - Titan Gray - (LH70BETHLGFXZC)",0,"$1,084.99",0,Samsung,LED,70,4K
575,"SunBriteTV Veranda SB-V-43-4KHDR-BL 43"" LED-LCD TV - 4K UHDTV - Black",63,"$2,399.99",15.5,SunBrite,LED,43,4K
576,"Open Box - Insignia 50"" 4K U HD HDR LCD Smart TV (NS-50F301CA22) - Fire TV Edition - 2020",1,$450.99,$800,Insignia,LCD,50,4K
577,LG 77 Inch Class B2 PUA series OLED 4K UHD Smart webOS 22 w/ ThinQ AI TV - OLED77B2PUA,0,"$2,999.99",$45,LG,OLED,NA,4K
578,"Refurbished (Excellent) - Insignia 32"" 720p HD LED TV (NS-32D310CA21) - 2020",0,$154.99,$100,Insignia,LED,32,720p
579,"Refurbished (Good) - LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7590PUB) - 2022 - Dark Iron Grey",0,$499.99,"$1,700",LG,LED,50,4K
580,"Samsung 85"" 4K HDR 24X OTS Neo QLED Smart TV (QN85QN85BA) 10/10 Condition Never Used W/Samsung WarrantyGREATER TORONTO DELIVERY ONLY",0,"$2,999.99",15.5,Samsung,LED,85,4K
581,"Samsung 85"" 4K UHD HDR LED Tizen OS Smart TV (UN85AU7980FXZC) - 2021 - Titan Grey",3,"$2,499.97",0,Samsung,LED,85,4K
582,"TCL 4-Series 65"" 4K UHD HDR LED Roku TV Smart TV (65S435-CA) - 2021",921,$699.99,"$1,600",TCL,LED,65,4K
583,"Refurbished (Good) - LG 65"" G2 4K UHD HDR OLED webOS Evo Gallery Smart TV (OLED65G2PUA) - 2022 - Satin Silver",0,"$2,399",$350,LG,OLED,65,4K
584,"Refurbished (Good) - Samsung The Frame 55"" 4K UHD HDR QLED Tizen OS Smart TV (QN55LS03AD / QN55LS03AA )",0,"$1,249.99",$200,Samsung,LED,55,4K
585,"REFURBISHED (GOOD) TCL 65"" Class 4-Series 4K UHD HDR Smart Roku TV (65S451)",0,$499.99,15.5,TCL,NA,65,4K
586,"LG 55"" 4K UHD HDR QNED webOS Smart TV (55QNED80URA) - 2023 - Ashed Blue",6,"$1,299.99",$180,LG,QNED,55,4K
587,"Open Box - Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55AU8000FXZC) - 2021",1,$569.95,$100,Samsung,LED,55,4K
588,Refurbished (Good) - RCA DEL HD 720P TV 24 in (RT2412-B) - (Condition 10/10),0,$99.99,$699,RCA,NA,24,NA
589,"Samsung 82"" 4K UHD HDR QLED Tizen Smart TV (QN82Q7DRAF)",0,"$4,299.99",15.5,Samsung,LED,82,4K
590,"Open Box - LG 55"" 4K UHD HDR LED webOS Smart TV (55UP8000PUA) - 2021",559,$689.99,$350,LG,LED,55,4K
591,"Refurbished (Excellent) - LG 65"" 4K UHD HDR LCD webOS Smart TV (65UP7000PUA) - 2021",0,$648.97,0,LG,LCD,65,4K
592,"Open Box - LG 86"" 4K UHD HDR LED webOS Smart TV (86UP8770PUA) - 2021",0,"$2,589.99",$244,LG,LED,86,4K
593,"Samsung SH37R-B 37"" UHD LCD 60Hz HDMI USB Wi-Fi Stretch Professional Black Television (LH37SHRBBGBXZA)",0,"$2,434.99",$650,Samsung,LCD,37,NA
594,"Refurbished (Good) - LG 75"" Class 4K UHD 2160P Smart TV (75UN6950ZUD)",0,$799.99,"$3,500",LG,NA,75,4K
595,"Samsung 85"" 4K UHD Neo QLED Tizen Smart TV (QN85QN90BAFXZC) - Titan Black Open Box 10/10 Condition Never Used W/Samsung WarrantyGREATER TORONTO DELIVERY ONLY",0,"$3,499.99",15.5,Samsung,LED,85,4K
596,"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q62AAFXZC) - Titan Grey - Only at Best Buy",0,"$1,104.99",15.5,Samsung,LED,65,4K
597,"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO80UPA) - 2021 - Only at Best Buy",554,"$1,599.97",15.5,LG,LED,65,4K
598,"Open Box - LG NanoCell 75"" 4K UHD HDR LCD webOS Smart TV (75NANO80) - 2020 - Only at Best Buy",0,"$1,239.99",0,LG,LCD,75,4K
599,"Refurbished (Good) - TCL 5Series 65"" 4K UHD HDR QLED Roku TV Smart TV (65S535CAB) 2020",0,$799.99,15.5,TCL,LED,65,4K
600,"Open Box - LG 65"" 4K UHD HDR OLED webOS Smart TV (OLED65G1PUA) - 2021",942,"$2,099.99",15.5,LG,OLED,65,4K
601,"Open Box - Sony 75"" 8K UHD HDR LED Android Smart TV (XBR75Z8H)",0,"$2,999.99",$500,Sony,LED,75,8K
602,"Open Box - Samsung The Serif 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS01TAFXZC) - White",161,$999.99,0,Samsung,LED,43,4K
603,"Samsung The Frame 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS03RAFXZC) - Charcoal Black - Open Box",0,"$2,139.99",0,Samsung,LED,65,4K
604,"Samsung The Frame 85"" 4K UHD HDR QLED Tizen Smart TV (QN85LS03BAFXZC) -2022 -Charcoal Black -Open Box",0,"$4,399.99",$200,Samsung,LED,85,4K
605,"REFURBISHED (GOOD) - Philips 75"" Class 4K Ultra HD (2160p) Google Smart LED TV (75PUL7552/F7)",0,$649.99,12.2,Philips,LED,75,4K
606,"Open Box - LG 43"" 4K UHD HDR LED webOS Smart TV (43UP7560AUD) - 2021",159,$479.99,$240,LG,LED,43,4K
607,"Refurbished (Good) onn. 70” QLED 4K UHD (2160p) Roku Smart TV with Dolby Atmos, Dolby Vision, Local Dimming, 120hz Effective Refresh Rate, and HDR (100071708)",0,$699.99,$151,onn,LED,NA,4K
608,"LG 70UP8070PUR 70"" 4K UHD HDR LCD webOS Smart TV, Light Black (Factory Refurbished)",0,$749,$250,LG,LCD,70,4K
609,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UP7560AUD) - 2021 - Open Box",0,$549.97,0,LG,LED,50,4K
610,"Samsung 43"" 4K UHD HDR QLED Tizen Smart TV (QN43QN90BAFXZC) - Titan Black - Open Box",0,"$1,279.99",15.5,Samsung,LED,43,4K
611,"Open Box - LG 55"" 4K UHD HDR OLED webOS Smart TV (OLED55A1PUA) - 2021",708,"$1,609.99",$260,LG,OLED,55,4K
612,"LG 65"" 4K UHD HDR QNED webOS Smart TV (65QNED85UQA) - 2022 - Dark Titan Silver/Ashed Blue - Open Box",0,"$1,439.99",15.5,LG,QNED,65,4K
613,"LG NanoCell 75"" 4K UHD HDR LED webOS Smart TV (75NANO85APA) - 2021",203,"$2,999.97",$128,LG,LED,75,4K
614,"Samsung NT670U Series 50"" 4K UHD LED TV - (HG50NT670UFXZA)",0,$751.85,$271,Samsung,LED,50,4K
615,"Refurbished (Good) - LG 50"" 4K UHD HDR LED webOS Smart TV (50NANO75UQA) - 2022 - Ashed Blue",0,$579,$450,LG,LED,50,4K
616,"Refurbished (Good) - SAMSUNG QN50QN90B 50"" CLASS QN90B NEO QLED 4K SMART TV (2022)",0,$950,15.5,Samsung,LED,50,4K
617,"Open Box - Samsung 65"" 4K UHD HDR Neo QLED Tizen Smart TV (QN65QN9DAAFXZC)",0,"$1,529.99",15.5,Samsung,LED,65,4K
618,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU6900FXZC) - 2020 - Titan Grey - Only at Best Buy",102,"$1,398.97",0,Samsung,LED,75,4K
619,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55QN88BAFXZC) -Titan Black -Only at Best Buy -Open Box",0,"$1,279.99",$175,Samsung,LED,55,4K
620,Refurbished (Good) - Hisense 55 inch U6G Series Quantum 4K ULED Android Smart TV (55U6G),0,$564.99,15.5,Hisense,LED,55,4K
621,"Samsung 85"" 4K UHD Neo QLED Tizen Smart TV (QN85QN90BAFXZC) - Titan Black - Open Box",0,"$3,199.99",15.5,Samsung,LED,85,4K
622,"Open Box - Sony 85"" 4K UHD HDR LED Android Smart TV (XBR85X900H)",0,"$2,549.99",$590,Sony,LED,85,4K
623,"Refurbished (Excellent) - Samsung 55"" 4K UHD OLED Tizen Smart TV (QN55S95BAFXZC)",0,"$1,309.99",$502,Samsung,OLED,55,4K
624,"Open Box - Samsung The Serif 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS01BAFXZC) - 2022 - Cloud White",0,$897,$200,Samsung,LED,43,4K
625,"Refurbished (Good) - RCA 65"" 4K 2160P UHD Smart Television with WebOs - Black (RWOSU6547)",0,$549.99,12.2,RCA,NA,65,4K
626,"Open Box - Insignia 43"" 4K UHD HDR LED Smart TV (NS-43F301CA22) - Fire TV Editon - 2021",0,$424.99,"$2,499",Insignia,LED,43,4K
627,"Samsung The Terrace 65"" 4K UHD HDR QLED Tizen Smart Outdoor TV (QN65LST7TAFXZC) - Titan Black - Open Box",0,"$4,499",$170,Samsung,LED,65,4K
628,"50"" Crystal UHD 4K Smart TV AU8000 OPEN BOX 10/10",0,$628,15.5,"50"" Crystal",NA,50,4K
629,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UP8000PUA) - 2021 - Only at Best Buy",861,"$1,248.97",0,LG,LED,65,4K
630,"Refurbished (Good) - TCL 4Series 75"" 4K UHD HDR LED Roku TV Smart TV (75S425CAB) 2019",1,$749.99,15.5,TCL,LED,75,4K
631,"Samsung 85"" 4K UHD HDR QLED Tizen Smart TV (QN85QN85AAFXZC) - 2021 - Titan Black",1577,"$3,998.97",15.5,Samsung,LED,85,4K
632,"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q6DTAFXZC) - 2020 - Titan Grey",0,"$1,079.99",$550,Samsung,LED,65,4K
633,Samsung QN43LS01BAFXC 43-Inch Serif Series LED 4K UHD Smart Tizen TV - Open Box,0,$849,$260,Samsung,LED,43,4K
634,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q75AAFXZC) - Open Box",0,$739.95,$540,Samsung,LED,55,4K
635,"Refurbished (Excellent) - Sony BRAVIA XR X95J 65"" 4K UHD HDR LED Smart Google TV (XR65X95J) - 2021",0,"$1,459.97",15.5,Sony,LED,65,4K
