Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
69,"LG G3 65"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED65G3PUA) - 2023 - Satin Silver",66,$3999.99,$20,LG,OLED,65,4K
70,"Open Box - Insignia 32"" 720p HD LED TV (NS-32D310CA21) - 2020 - Only at Best Buy",1,$159.99,12.20,Insignia,LED,32,720p
71,"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU690TFXZC) - 2022",3,$399.99,15.50,Samsung,LED,43,4K
72,"Open Box - Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58TU7000FXZC) - Titan Grey",7,$583.99,$100,Samsung,LED,58,4K
73,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7570PUJ) - 2023 - Black",0,$599.99,15.50,LG,LED,55,4K
74,"Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58CU7000FXZC) - 2023 - Titan Grey",286,$849.99,15.50,Samsung,LED,58,4K
75,"Open Box - Samsung 82"" 4K UHD HDR LED Tizen OS Smart TV (UN82TU7000FXZC) - 2021 - Titan Grey",0,$1199.99,15.50,Samsung,LED,82,4K
76,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q70CAFXZC) - 2023",73,$1199.99,15.50,Samsung,LED,55,4K
77,"LG 86"" 4K UHD HDR LED webOS Smart TV (86UQ7590PUD) - 2022 - Dark Iron Grey",17,$1799.99,$500,LG,LED,86,4K
78,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU8000FXZC) - 2023",196,$1999.99,15.50,Samsung,LED,85,4K
79,"Sony X85K 55"" 4K UHD HDR LED Smart Google TV (KD55X85K) - 2022",328,$1099.99,15.50,Sony,LED,55,4K
80,"Sony BRAVIA 85"" 4K UHD HDR LED Google TV Smart TV (XR85X90K) - 2022",559,$2799.99,15.50,Sony,LED,85,4K
81,"Open Box - Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50AU8000FXZC) - 2021",4,$519.99,$500,Samsung,LED,50,4K
82,"LG 77"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED77C3PUA) - 2023",78,$4299.99,$100,LG,OLED,77,4K
83,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7570PUJ) - 2023 - Black",240,$749.99,15.50,LG,LED,65,4K
84,"Sony X80K 50"" 4K UHD HDR LED Smart Google TV (KD50X80K) - 2022",541,$829.95,$75,Sony,LED,50,4K
85,"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen OS Smart TV (QN65Q70AAFXZC) - 2021",0,$1199.99,$500,Samsung,LED,65,4K
86,"Samsung 65"" 4K UHD HDR Neo QLED Tizen Smart TV (QN65QN90CAFXZC) - 2023 - Titan Black",22,$2799.99,15.50,Samsung,LED,65,4K
87,"Open Box - LG NanoCell 75"" 4K UHD HDR LED webOS Smart TV (75NANO80UPA) - 2021",0,$1919.99,15.50,LG,LED,75,4K
88,"Sony X85K 50"" 4K UHD HDR LED Smart Google TV (KD50X85K) - 2022",223,$949.99,0,Sony,LED,50,4K
89,"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen OS Smart TV (QN65QN88AAFXZC) - 2021 - Titan Black",0,$1614.99,15.50,Samsung,LED,65,4K
90,"Sony X80K 65"" 4K UHD HDR LED Smart Google TV (KD65X80K) - 2022",847,$1199.99,15.50,Sony,LED,65,4K
91,"Sony X80K 55"" 4K UHD HDR LED Smart Google TV (KD55X80K) - 2022",635,$949.99,$50,Sony,LED,55,4K
92,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50CU8000FXZC) - 2023",126,$699.99,15.50,Samsung,LED,50,4K
93,"Samsung 50"" 4K UHD HDR QLED Smart TV (QN50Q60CAFXZC) - 2023 - Titan Grey",203,$849.99,15.50,Samsung,LED,50,4K
94,"Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q60BAFXZC) - Titan Grey",268,$1599.95,12.20,Samsung,LED,75,4K
95,"Samsung 43"" 4K UHD HDR QLED Smart TV (QN43Q60CAFXZC) - 2023 - Titan Grey",208,$749.99,$60,Samsung,LED,43,4K
96,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65AU8000FXZC) - 2021",1689,$739.99,0,Samsung,LED,65,4K
97,"Samsung The Frame 75"" 4K UHD HDR QLED Tizen Smart TV (QN75LS03BAFXZC) - 2022 - Charcoal Black",462,$3999.99,$100,Samsung,LED,75,4K
98,"Sony BRAVIA XR X90J 50"" 4K UHD HDR LED Smart Google TV (XR50X90J) - 2021",5051,$1099.99,$400,Sony,LED,50,4K
99,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q75AAFXZC) - Only at Best Buy",22,$1299.97,15.50,Samsung,LED,65,4K
100,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey",278,$1199.95,$20,Samsung,LED,65,4K
101,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q80BAFXZC) - Titan Black - Open Box",1,$879.99,0,Samsung,LED,55,4K
102,"TCL 6-Series 55"" 4K UHD HDR QLED Mini-LED Roku OS Smart TV (55R635-CA)",1042,$899.99,15.50,TCL,LED,55,4K
103,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey",44,$699.99,$100,LG,LED,55,4K
104,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q80CAFXZC) - 2023 - Titan Black",83,$1699.99,$100,Samsung,LED,65,4K
105,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q80CAFXZC) - 2023 - Titan Black",55,$1299.99,$50,Samsung,LED,55,4K
106,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7590PUB) - 2022 - Dark Iron Grey",29,$849.99,12.20,LG,LED,65,4K
107,"Insignia 40"" 1080p LED TV (NS-40D510CA21) - 2020 - Only at Best Buy",23,$299.99,$800,Insignia,LED,40,1080p
108,"Sony 85"" 4K UHD HDR Mini-LED Smart Google TV (XR85X93L) - 2023",0,$5499.99,0,Sony,LED,85,4K
109,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q60BAFXZC) - Titan Grey - Open Box",2,$679.99,15.50,Samsung,LED,55,4K
110,"Samsung 75"" 4K UHD HDR QLED Smart TV (QN75Q60CAFXZC) - 2023 - Titan Grey",166,$1999.99,$100,Samsung,LED,75,4K
111,"Insignia 32"" 1080p FHD LED Smart TV (NS-32F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",421,$249.99,12.20,Insignia,LED,32,1080p
112,"Sony X80K 43"" 4K UHD HDR LED Smart Google TV (KD43X80K) - 2022",487,$749.99,0,Sony,LED,43,4K
113,"Amazon Fire TV 4-Series 43"" 4K UHD HDR LED Smart TV (B08T6FMSY8) - 2021",16,$399.99,"$1,200",Amazon fire TV,LED,43,4K
114,"Sony BRAVIA XR X95K 65"" 4K UHD HDR Mini-LED Smart Google TV (XR65X95K) - 2022",350,$2499.99,15.50,Sony,LED,65,4K
115,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU7000FXZC) - Titan Grey",21276,$549.99,$500,Samsung,LED,50,4K
116,"Samsung 77"" 4K UHD HDR OLED Tizen Smart TV(QN77S95CAFXZC) - 2023 - Titan Black",127,$5499.99,15.50,Samsung,OLED,77,4K
117,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7590PUB) - 2022 - Dark Iron Grey",30,$649.99,0,LG,LED,50,4K
118,"TCL 6-Series 75"" 4K UHD HDR QLED Roku OS Smart TV (75R635-CA)",435,$1999.99,15.50,TCL,LED,75,4K
119,"LG G3 77"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED77G3PUA) - 2023 - Satin Silver",71,$5999.99,15.50,LG,OLED,77,4K
120,"LG 75"" 4K UHD HDR LED webOS Smart TV (75UQ7590PUB) - 2022 - Dark Iron Grey",789,$1499.99,15.50,LG,LED,75,4K
121,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q80BAFXZC) - Titan Black",156,$1499.95,15.50,Samsung,LED,65,4K
122,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU690TFXZC) - 2022 - Only at Best Buy",1650,$1399.99,$50,Samsung,LED,75,4K
123,"LG 42"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED42C3PUA) - 2023",49,$1799.99,0,LG,OLED,42,4K
