Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels,Status,Month
"Open Box - LG NanoCell 75"" 4K UHD HDR LED webOS Smart TV (75NANO80UPA) - 2021",0,"$1,919.99",15.5,LG,LED,75,4K,Open Box,July
"Sony X85K 50"" 4K UHD HDR LED Smart Google TV (KD50X85K) - 2022",223,$949.99,0,Sony,LED,50,4K,New,July
"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen OS Smart TV (QN65QN88AAFXZC) - 2021 - Titan Black",0,"$1,614.99",15.5,Samsung,LED,65,4K,Open Box,July
"Sony X80K 65"" 4K UHD HDR LED Smart Google TV (KD65X80K) - 2022",847,"$1,199.99",15.5,Sony,LED,65,4K,New,July
"Sony X80K 55"" 4K UHD HDR LED Smart Google TV (KD55X80K) - 2022",635,$949.99,$50,Sony,LED,55,4K,New,July
"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50CU8000FXZC) - 2023",126,$699.99,15.5,Samsung,LED,50,4K,New,July
"Samsung 50"" 4K UHD HDR QLED Smart TV (QN50Q60CAFXZC) - 2023 - Titan Grey",203,$849.99,15.5,Samsung,LED,50,4K,New,July
"Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q60BAFXZC) - Titan Grey",268,"$1,599.95",12.2,Samsung,LED,75,4K,New,July
"Samsung 43"" 4K UHD HDR QLED Smart TV (QN43Q60CAFXZC) - 2023 - Titan Grey",208,$749.99,$60,Samsung,LED,43,4K,New,July
"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65AU8000FXZC) - 2021",1689,$739.99,0,Samsung,LED,65,4K,Open Box,July
"Samsung The Frame 75"" 4K UHD HDR QLED Tizen Smart TV (QN75LS03BAFXZC) - 2022 - Charcoal Black",462,"$3,999.99",$100,Samsung,LED,75,4K,New,July
"Sony BRAVIA XR X90J 50"" 4K UHD HDR LED Smart Google TV (XR50X90J) - 2021",5051,"$1,099.99",$400,Sony,LED,50,4K,New,July
"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q75AAFXZC) - Only at Best Buy",22,"$1,299.97",15.5,Samsung,LED,65,4K,New,July
"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey",278,"$1,199.95",$20,Samsung,LED,65,4K,New,July
"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q80BAFXZC) - Titan Black - Open Box",1,$879.99,0,Samsung,LED,55,4K,New,July
"TCL 6-Series 55"" 4K UHD HDR QLED Mini-LED Roku OS Smart TV (55R635-CA)",1042,$899.99,15.5,TCL,LED,55,4K,New,July
"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey",44,$699.99,$100,LG,LED,55,4K,New,July
"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q80CAFXZC) - 2023 - Titan Black",83,"$1,699.99",$100,Samsung,LED,65,4K,New,July
"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q80CAFXZC) - 2023 - Titan Black",55,"$1,299.99",$50,Samsung,LED,55,4K,New,July
"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7590PUB) - 2022 - Dark Iron Grey",29,$849.99,12.2,LG,LED,65,4K,New,July
"Insignia 40"" 1080p LED TV (NS-40D510CA21) - 2020 - Only at Best Buy",23,$299.99,$800,Insignia,LED,40,1080p,New,July
"Sony 85"" 4K UHD HDR Mini-LED Smart Google TV (XR85X93L) - 2023",0,"$5,499.99",0,Sony,LED,85,4K,New,July
"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q60BAFXZC) - Titan Grey - Open Box",2,$679.99,15.5,Samsung,LED,55,4K,Open Box,July
"Samsung 75"" 4K UHD HDR QLED Smart TV (QN75Q60CAFXZC) - 2023 - Titan Grey",166,"$1,999.99",$100,Samsung,LED,75,4K,New,July
"Insignia 32"" 1080p FHD LED Smart TV (NS-32F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",421,$249.99,12.2,Insignia,LED,32,1080p,New,July
"Sony X80K 43"" 4K UHD HDR LED Smart Google TV (KD43X80K) - 2022",487,$749.99,0,Sony,LED,43,4K,New,July
"Amazon Fire TV 4-Series 43"" 4K UHD HDR LED Smart TV (B08T6FMSY8) - 2021",16,$399.99,"$1,200",Amazon fire TV,LED,43,4K,New,July
"Sony BRAVIA XR X95K 65"" 4K UHD HDR Mini-LED Smart Google TV (XR65X95K) - 2022",350,"$2,499.99",15.5,Sony,LED,65,4K,New,July
"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU7000FXZC) - Titan Grey",21276,$549.99,$500,Samsung,LED,50,4K,New,July
